employee_id,performance_group,yrs_employed,manager_hire,group_size,concern_flag,mobile_flag,customers,high_hours_flag,transfers,reduced_schedule,city,test_score,type
000af67b,Bottom,4.6,N,15,N,N,22,N,0,Y,Chicago,91,Urban
003a9cff,Bottom,5.5,N,8,N,Y,16,Y,0,Y,Houston,273,Suburban
00bc8536,Middle,5.1,N,12,N,Y,24,Y,2,N,Chicago,174,Urban
00be1442,Middle,4.7,N,11,N,Y,28,Y,0,Y,Chicago,303,Urban
00d6fdfd,Bottom,4.2,N,11,N,N,28,Y,3,Y,Chicago,106,Urban
0129f72f,Middle,4.8,N,15,N,N,30,Y,0,N,New York,402,Urban
01aa135f,Middle,5,N,15,N,N,22,Y,2,N,New York,258,Urban
02cba29a,Middle,4.7,N,15,N,N,18,N,2,N,Toronto,379,Urban
0390bb8b,Middle,4.1,N,10,N,N,14,N,2,N,New York,205,Urban
03a8743a,Middle,5.4,N,9,N,Y,26,N,0,Y,Chicago,265,Urban
040001a4,Top,5,N,8,N,N,22,Y,2,N,Toronto,235,Urban
04311ecb,Middle,4.9,N,8,N,N,16,Y,0,N,Toronto,174,Urban
044c241c,Middle,5.2,N,19,Y,N,26,Y,2,N,New York,265,Urban
04bca1f7,Middle,4.1,N,13,N,N,20,N,0,N,New York,220,Urban
04d0de08,Middle,4.4,N,11,N,Y,16,N,2,N,Toronto,356,Urban
04de1f43,Middle,4.7,N,11,N,Y,22,N,0,N,Chicago,159,Urban
065bef5c,Middle,4.6,N,10,N,N,22,N,0,N,Toronto,235,Urban
06ac534e,Middle,4.4,N,10,N,N,20,Y,0,N,Toronto,273,Urban
07e9e2c2,Middle,4.7,N,11,N,N,16,N,0,N,Toronto,91,Urban
07eb21de,Middle,5.3,N,11,Y,Y,28,Y,3,N,Orlando,205,Suburban
07f79c30,Middle,4.5,N,14,N,N,22,Y,2,N,New York,98,Urban
0a096c9c,Middle,4.2,N,12,N,N,24,N,0,Y,San Francisco,212,Suburban
0a52817d,Bottom,4.1,Y,11,N,N,22,Y,2,N,New York,227,Urban
0a6e155a,Middle,4.6,N,11,N,N,20,Y,0,Y,Houston,303,Suburban
0b3f7c51,Top,3.8,N,20,N,N,16,N,2,N,New York,242,Urban
0b5637d7,Middle,4.1,N,19,N,Y,24,Y,0,N,New York,212,Urban
0ba1e858,Bottom,5.3,N,5,N,Y,18,N,2,Y,Toronto,38,Urban
0c6ec688,Top,4.2,N,10,N,N,20,N,0,Y,Chicago,136,Urban
0c843034,Middle,4.3,N,11,N,Y,22,Y,2,Y,San Francisco,189,Suburban
0d0f885d,Middle,5.1,N,11,N,N,24,N,0,N,New York,182,Urban
0d3fab51,Middle,4.7,N,11,N,Y,30,N,0,Y,Chicago,326,Urban
0d7bb37c,Middle,4.1,N,10,N,N,16,Y,0,N,Toronto,280,Urban
0dcd7810,Top,4.5,N,11,N,Y,18,N,0,N,Toronto,424,Urban
0e51b4e7,Middle,4.6,N,10,N,N,22,N,0,N,New York,227,Urban
0e5f7d11,Middle,4.7,N,11,N,Y,32,Y,2,N,Chicago,288,Urban
0e7a60a8,Middle,4.2,N,10,N,N,24,Y,2,N,New York,205,Urban
0e836902,Middle,5.2,N,12,N,N,24,N,2,N,New York,174,Urban
0ee2cf84,Middle,4.4,N,7,N,Y,20,N,0,N,New York,106,Urban
0f2319ae,Middle,3.9,N,11,N,N,12,N,0,N,Chicago,379,Urban
0f2e5ec9,Bottom,5,N,9,N,Y,20,N,2,N,Toronto,189,Urban
0f4d1cff,Top,4,N,14,N,Y,22,Y,3,Y,San Francisco,386,Suburban
0f78b6fd,Middle,5,N,11,Y,N,14,N,0,N,New York,288,Urban
10aeb364,Middle,4.8,N,15,N,N,22,N,0,N,New York,265,Urban
10c54f24,Middle,4.6,N,11,N,N,22,N,0,N,Toronto,152,Urban
1149fc0d,Top,4.5,N,16,N,N,24,Y,0,N,New York,333,Urban
115c7d85,Middle,4.7,N,13,N,N,14,N,0,Y,Chicago,205,Urban
116b58cf,Bottom,5,N,10,N,N,18,N,0,Y,San Francisco,182,Suburban
11c9971a,Middle,4.9,N,12,N,Y,20,N,2,Y,Orlando,227,Suburban
11e44cc7,Bottom,5.1,N,13,N,N,22,Y,0,N,Chicago,83,Urban
11e61339,Middle,4.9,N,7,N,N,14,N,0,N,Toronto,341,Urban
11e9ac6c,Top,4.1,N,8,N,N,20,N,0,N,Toronto,167,Urban
12d9bf3a,Middle,4.2,N,10,N,N,22,Y,0,N,Toronto,379,Urban
13eee288,Middle,5.3,N,11,N,N,16,N,2,N,New York,280,Urban
141e6ecb,Middle,3.6,N,11,N,N,16,Y,0,N,Toronto,364,Urban
14544b08,Middle,5,N,10,N,N,22,Y,0,N,New York,242,Urban
149d37b2,Middle,5,N,12,N,N,22,Y,2,N,Toronto,235,Urban
14a3d50d,Bottom,4.6,N,10,N,N,28,Y,0,N,Toronto,197,Urban
14f5e806,Bottom,4.9,N,8,N,N,14,N,0,Y,San Francisco,167,Suburban
152259c9,Middle,4,N,9,N,Y,22,N,0,N,Toronto,265,Urban
15995879,Middle,4.6,N,13,N,N,22,N,0,N,New York,273,Urban
15a8065a,Middle,3.9,N,10,N,N,14,N,2,Y,Houston,121,Suburban
161c4d66,Middle,4.7,N,13,N,Y,26,N,2,Y,Orlando,212,Suburban
1623d0c9,Bottom,4.4,N,6,N,Y,28,Y,2,Y,San Francisco,152,Suburban
16b4eb7c,Bottom,4.5,N,11,N,Y,22,N,0,Y,Houston,212,Suburban
170eaabe,Middle,4.6,N,14,Y,N,24,N,2,N,New York,174,Urban
17483a7c,Bottom,4.5,N,13,N,Y,22,N,0,Y,San Francisco,295,Suburban
177de4ed,Middle,5,N,13,N,N,30,N,2,N,Toronto,227,Urban
17a4ee4b,Middle,5.5,N,10,Y,N,26,Y,2,N,New York,189,Urban
18c20092,Middle,4.8,N,13,N,N,22,N,0,N,New York,250,Urban
1963f987,Bottom,4.5,N,12,N,Y,16,N,0,Y,Toronto,303,Urban
198e1a78,Middle,4.4,N,10,N,N,10,N,0,N,Toronto,250,Urban
1a150568,Middle,5.4,N,11,Y,Y,28,N,3,Y,San Francisco,364,Suburban
1ae8d25f,Middle,5.2,N,11,N,N,22,N,0,N,New York,220,Urban
1b30e815,Middle,5.3,N,15,N,N,24,Y,0,N,Toronto,121,Urban
1b32f3f5,Middle,3.9,N,11,N,N,14,N,0,N,Chicago,250,Urban
1b6e0be9,Bottom,5,Y,7,Y,Y,22,Y,0,N,Toronto,212,Urban
1bb4fc5e,Middle,4,N,13,N,N,28,N,5,N,New York,212,Urban
1be5eccb,Bottom,4.4,N,11,N,N,12,Y,2,Y,San Francisco,402,Suburban
1c2e4596,Middle,4.9,N,9,Y,N,18,Y,0,Y,Houston,303,Suburban
1ccf7241,Middle,4.5,N,8,N,Y,18,Y,0,N,Toronto,265,Urban
1dd5b8d0,Bottom,5.1,N,16,N,N,28,N,2,N,New York,182,Urban
20320ac0,Bottom,4.6,N,11,Y,N,20,N,0,N,New York,227,Urban
20a898a5,Middle,5,N,17,N,N,16,Y,0,N,New York,174,Urban
20c1f2ab,Top,4.2,N,10,N,N,34,Y,0,N,New York,424,Urban
212d0ccb,Middle,4.9,N,13,N,Y,20,N,0,Y,San Francisco,212,Suburban
2161245d,Middle,4.4,N,11,Y,Y,16,N,2,Y,Houston,242,Suburban
224e8e50,Middle,5,N,8,Y,Y,16,N,0,Y,San Francisco,91,Suburban
233e5f29,Middle,4.1,N,11,N,N,22,Y,2,Y,Houston,174,Suburban
239f57a2,Middle,5,N,13,N,N,28,Y,0,N,Toronto,295,Urban
23aba68b,Middle,4.7,N,10,Y,Y,20,Y,0,N,Toronto,409,Urban
2450d532,Middle,4,N,14,N,N,18,N,0,N,New York,189,Urban
246b221c,Bottom,4.2,N,17,N,N,18,N,2,N,New York,303,Urban
249a6c42,Middle,4.1,N,12,N,N,18,N,0,N,Toronto,212,Urban
25d23a7c,Middle,4.1,N,12,N,N,18,Y,2,N,New York,174,Urban
26e1942e,Middle,4.1,N,13,N,Y,18,N,0,N,Toronto,174,Urban
26fec077,Middle,4.3,N,10,N,Y,24,N,2,N,Chicago,341,Urban
272b93f1,Bottom,5.2,N,10,N,N,12,N,0,Y,Chicago,227,Urban
27644867,Middle,4.5,N,10,N,Y,24,Y,3,Y,Orlando,273,Suburban
2831f170,Middle,4.9,N,9,N,N,28,Y,0,Y,San Francisco,129,Suburban
283cb5b2,Middle,4.7,N,14,N,N,22,N,0,N,Toronto,174,Urban
28ca8384,Bottom,5.1,N,11,N,Y,24,N,3,Y,Orlando,220,Suburban
28faeb10,Bottom,5.1,N,10,N,Y,16,N,0,Y,San Francisco,98,Suburban
2aa74cd6,Bottom,5,N,11,N,N,16,Y,0,Y,New York,220,Urban
2b450c6b,Middle,5,N,11,N,Y,20,N,0,Y,San Francisco,333,Suburban
2b65a8b7,Middle,4.4,N,15,N,N,20,N,0,N,New York,242,Urban
2ba7657f,Top,4.9,N,10,N,Y,18,N,0,Y,Chicago,235,Urban
2c218e8f,Middle,4.5,N,13,N,N,20,N,2,N,New York,295,Urban
2cc30425,Bottom,4.8,N,8,Y,N,20,N,0,N,Toronto,159,Urban
2d54740d,Middle,4.4,N,10,N,N,24,Y,0,Y,Orlando,311,Suburban
2d69d975,Top,4.1,N,10,N,N,18,N,0,Y,San Francisco,242,Suburban
2e0e1cee,Middle,5,N,10,N,N,14,N,0,N,New York,250,Urban
2e91c3cf,Middle,5,N,8,N,Y,14,N,0,Y,San Francisco,220,Suburban
2ea241ec,Middle,4.5,N,8,N,N,24,N,0,N,Toronto,303,Urban
2eaaf42c,Middle,4.6,N,11,N,N,22,N,2,Y,Chicago,114,Urban
2f3c7c83,Middle,4.1,N,11,N,N,22,N,3,N,Toronto,159,Urban
2f4312d0,Bottom,4.1,N,15,N,N,24,N,0,N,New York,348,Urban
2f848ab0,Middle,4.5,N,11,N,N,22,N,0,N,New York,295,Urban
2f8a425a,Middle,4.5,N,10,N,N,22,Y,0,N,Toronto,235,Urban
2fef6027,Middle,4.7,N,8,N,N,18,Y,0,N,Toronto,288,Urban
30192bf4,Middle,4.2,N,8,N,N,14,N,0,N,Chicago,182,Urban
312581bc,Middle,4.1,N,10,N,N,16,N,0,N,New York,182,Urban
3135ebd2,Middle,4.9,N,13,N,N,20,Y,3,N,Toronto,280,Urban
314bc11c,Middle,4.3,N,13,Y,N,26,Y,5,N,New York,439,Urban
325b71cd,Bottom,5,N,13,N,N,18,N,2,N,Toronto,144,Urban
336361fc,Top,4.7,N,13,N,N,26,Y,0,N,New York,242,Urban
33d05649,Top,3.7,N,11,N,Y,22,Y,0,N,New York,288,Urban
340b1336,Bottom,4.8,N,12,N,N,16,N,2,N,Toronto,265,Urban
3474567e,Middle,5,N,15,N,N,24,Y,0,N,New York,280,Urban
35a6eceb,Bottom,4.6,N,10,N,N,22,Y,0,N,New York,280,Urban
35c38582,Bottom,4.9,N,13,N,N,22,N,2,N,New York,212,Urban
366b1d0f,Top,4.7,N,19,N,N,38,Y,2,N,New York,273,Urban
3750c061,Middle,4.4,N,9,N,Y,20,N,0,N,Toronto,258,Urban
386b9dad,Bottom,4.8,N,14,N,Y,36,Y,2,Y,San Francisco,197,Suburban
3870bb30,Top,4.2,N,11,N,N,20,Y,0,N,Toronto,394,Urban
38df15ce,Middle,4.5,N,12,N,N,28,Y,0,Y,Orlando,220,Suburban
3a1e550d,Middle,4.3,N,6,N,N,16,N,0,N,New York,242,Urban
3a3fed54,Middle,4.6,N,8,N,N,24,Y,0,N,New York,197,Urban
3b4dd5df,Middle,5,N,18,N,N,20,Y,2,N,New York,280,Urban
3bffd4f8,Middle,4.3,N,13,N,N,20,N,2,N,New York,318,Urban
3c2d45cc,Middle,5.1,N,11,N,N,22,Y,0,N,New York,288,Urban
3c308b87,Middle,4.3,N,8,N,N,16,N,0,N,Toronto,76,Urban
3c528414,Bottom,4.7,N,17,N,N,18,N,3,N,New York,167,Urban
3c71e2ec,Middle,5.4,N,13,N,N,20,N,0,N,New York,220,Urban
3d9e9752,Middle,4.9,N,10,N,N,16,N,0,N,New York,227,Urban
3dc6ca19,Bottom,5.1,N,15,N,Y,20,N,2,N,Orlando,182,Suburban
3de78aa1,Bottom,5.2,N,10,N,N,18,N,2,Y,Chicago,159,Urban
3e3edda6,Top,5,N,17,N,Y,24,N,0,N,New York,242,Urban
3e8dbe4c,Bottom,5.1,N,11,N,N,16,N,0,Y,Chicago,174,Urban
3ee66efc,Bottom,4,N,11,N,N,16,N,2,N,Toronto,409,Urban
40e853ea,Middle,4.9,N,13,N,N,26,Y,0,N,Toronto,227,Urban
41890e7a,Top,3.6,N,9,N,N,20,N,2,N,Chicago,114,Urban
4222521e,Middle,5.7,N,18,Y,N,16,N,0,N,Toronto,326,Urban
4397b678,Middle,4.8,N,13,N,N,20,N,0,N,Toronto,265,Urban
43c1d8c2,Middle,4.4,N,15,N,N,20,Y,0,N,Toronto,432,Urban
4427aff6,Middle,4,N,10,N,N,18,N,0,N,Toronto,250,Urban
445bd5bb,Middle,5,N,11,N,N,22,Y,0,N,Toronto,242,Urban
4487ca5f,Middle,5.4,N,20,Y,N,36,Y,2,N,Toronto,326,Urban
4532e76f,Middle,4.6,N,9,Y,N,22,N,0,Y,Chicago,220,Urban
46c39f61,Bottom,5,N,11,N,N,24,N,2,Y,San Francisco,167,Suburban
4778d76c,Middle,4.4,N,8,N,N,18,N,0,Y,Chicago,220,Urban
47c9b35e,Top,6,N,15,Y,N,34,N,0,N,New York,295,Urban
47d6fc9f,Bottom,4.8,N,12,N,N,18,N,0,N,New York,280,Urban
48507fc0,Middle,4.4,N,17,N,N,18,N,0,N,Toronto,462,Urban
49f49cc7,Middle,4.9,N,11,N,Y,16,N,2,Y,Houston,189,Suburban
49f4dc41,Top,3.7,N,11,N,N,16,N,0,N,New York,220,Urban
4a9eb443,Middle,4.4,N,10,N,Y,26,N,0,N,Chicago,106,Urban
4b934557,Middle,4.6,N,10,N,N,24,N,0,Y,Orlando,220,Suburban
4bd699d4,Middle,4.6,N,12,N,N,18,N,2,N,Toronto,167,Urban
4c594b79,Top,4.2,N,11,N,N,18,Y,2,N,New York,348,Urban
4c9b3876,Middle,4.6,N,9,Y,N,18,N,0,N,New York,409,Urban
4d593345,Middle,4.5,N,6,N,N,22,N,0,N,Toronto,136,Urban
4e8b206b,Bottom,4.9,N,13,N,Y,22,Y,2,Y,San Francisco,326,Suburban
4fa96bbd,Middle,5.1,N,15,N,N,22,Y,2,N,Toronto,197,Urban
4ffffa9d,Middle,5.3,N,10,N,N,16,N,0,N,New York,121,Urban
5046ef5b,Middle,4.6,N,9,N,N,20,N,0,N,Toronto,235,Urban
50612e98,Bottom,4.4,N,16,N,N,40,Y,2,N,Toronto,159,Urban
508d4855,Middle,5,N,11,N,N,22,N,2,N,Toronto,144,Urban
51532894,Middle,5.2,N,13,N,Y,16,N,0,N,New York,288,Urban
51623589,Middle,4.1,N,11,N,N,20,Y,0,Y,Toronto,220,Urban
51b9f4c2,Bottom,2.8,Y,9,N,N,24,N,0,N,New York,152,Urban
51e27cfe,Bottom,3.6,Y,8,N,N,16,N,0,N,New York,98,Urban
51e801e4,Middle,4.9,N,12,N,Y,20,Y,0,N,Toronto,159,Urban
52204196,Middle,5.2,N,11,N,N,16,N,0,Y,Chicago,205,Urban
52b7c12e,Middle,4.6,N,11,Y,N,18,N,0,N,Toronto,326,Urban
52fc4d27,Middle,4.8,N,7,N,N,14,N,0,N,New York,303,Urban
538f99bc,Middle,4.7,N,11,N,N,22,N,0,N,New York,182,Urban
53f52fd8,Bottom,4.3,N,11,N,N,24,N,2,N,Toronto,242,Urban
54289dac,Middle,4.5,N,8,N,N,18,N,2,N,Toronto,227,Urban
547584ac,Middle,4.6,N,11,N,N,20,Y,0,N,Chicago,197,Urban
55007f0c,Middle,4.2,N,9,N,Y,26,N,0,N,Toronto,242,Urban
551ba7ea,Middle,4.6,N,13,N,N,18,N,0,N,Toronto,265,Urban
5700c368,Bottom,3.8,N,9,N,N,16,N,0,N,Toronto,356,Urban
571c21ff,Bottom,5.2,N,8,N,N,16,N,0,Y,San Francisco,83,Suburban
5722f7d6,Bottom,4.5,N,8,N,N,18,Y,0,N,Toronto,212,Urban
582e7062,Bottom,5,N,8,N,Y,16,N,2,Y,Houston,205,Suburban
586eb60d,Middle,4.3,N,11,N,N,18,N,0,N,Toronto,98,Urban
589fcdd8,Top,3.8,N,14,N,Y,16,N,0,N,Toronto,318,Urban
5a343b35,Middle,3.7,N,9,N,N,24,N,3,N,New York,205,Urban
5ab4b656,Middle,4.6,N,14,N,N,20,Y,0,N,New York,273,Urban
5acf99c0,Middle,4.9,N,17,N,N,20,Y,2,N,New York,265,Urban
5ad93121,Top,4.4,N,11,N,N,26,Y,2,Y,San Francisco,273,Suburban
5b268514,Top,4.2,N,11,N,N,16,N,0,Y,Toronto,144,Urban
5bc0968a,Middle,4.3,N,12,N,N,18,N,2,N,New York,311,Urban
5bcb8806,Bottom,5,N,11,N,N,20,N,0,Y,San Francisco,174,Suburban
5bd15eec,Top,3.3,Y,11,N,N,16,N,0,Y,Houston,220,Suburban
5da9639e,Middle,4.1,N,15,N,N,20,Y,0,N,Toronto,303,Urban
5f17a93b,Bottom,4.8,N,13,N,N,18,Y,2,N,Chicago,311,Urban
5f32922b,Middle,3.9,N,13,N,N,20,N,0,N,New York,220,Urban
602410d1,Middle,4,N,11,N,N,18,N,0,N,New York,265,Urban
602ce2b1,Top,4,N,13,N,N,20,Y,0,Y,San Francisco,273,Suburban
60845764,Bottom,4.5,N,13,N,N,22,Y,0,N,New York,114,Urban
610ece3e,Bottom,5.5,N,6,N,Y,20,Y,0,Y,Orlando,129,Suburban
616e7dc0,Middle,5.1,N,14,N,Y,22,Y,3,N,Toronto,295,Urban
61a0762d,Middle,4.6,N,8,N,N,24,N,0,N,Toronto,242,Urban
63496c55,Middle,5.3,N,11,N,Y,24,N,2,Y,San Francisco,242,Suburban
637e8a0f,Middle,4.2,N,13,N,N,34,Y,3,N,Toronto,220,Urban
63c5649d,Bottom,4.8,N,12,N,Y,14,N,2,N,Toronto,174,Urban
642614af,Middle,5,N,9,Y,N,16,Y,2,N,Toronto,280,Urban
64b4e375,Middle,4.4,N,12,N,N,26,Y,0,N,Toronto,205,Urban
64c6833b,Middle,4.4,N,13,N,Y,16,N,2,N,Chicago,333,Urban
64e3a1ba,Bottom,5.2,N,10,N,Y,22,Y,3,N,Toronto,311,Urban
65a9dfdd,Bottom,4.5,N,8,N,Y,14,N,0,N,Toronto,235,Urban
662f3d39,Middle,5,N,13,N,N,24,N,0,N,New York,159,Urban
6640964f,Middle,4.7,N,15,N,N,24,Y,2,N,Toronto,424,Urban
66534e07,Middle,5.1,N,11,N,N,20,Y,2,N,Toronto,167,Urban
66810cc9,Middle,5,N,14,N,Y,24,Y,3,N,Toronto,295,Urban
66b83b4b,Bottom,5.6,N,10,Y,N,22,N,0,Y,San Francisco,174,Suburban
683ba552,Top,3.7,N,9,N,N,22,Y,0,N,Toronto,356,Urban
694626f7,Bottom,5.5,N,14,Y,Y,20,N,0,N,Toronto,174,Urban
699e4d61,Middle,4.5,N,9,N,N,20,N,0,N,Toronto,189,Urban
6ac38c5e,Middle,4.6,N,9,N,N,18,N,2,Y,San Francisco,318,Suburban
6b14f9f8,Middle,4.4,N,11,N,N,16,N,2,N,New York,144,Urban
6b707925,Middle,4,N,11,N,Y,32,Y,2,Y,Toronto,121,Urban
6c56cf27,Middle,4.4,N,13,N,N,16,N,2,N,Toronto,265,Urban
6d1d3f94,Bottom,5,N,11,N,Y,26,N,2,Y,San Francisco,144,Suburban
6e43d0eb,Bottom,4.5,N,17,N,N,32,Y,0,N,New York,182,Urban
6f6a15c3,Middle,4.9,N,14,N,Y,28,Y,3,N,Toronto,227,Urban
6f706192,Middle,5,N,15,N,N,22,N,0,N,New York,295,Urban
6fad20c6,Middle,5,N,9,N,N,20,Y,0,Y,San Francisco,159,Suburban
6fb92fa9,Bottom,5,N,15,N,Y,18,Y,2,N,Chicago,273,Urban
6fe8b754,Top,4.9,N,15,Y,N,20,Y,0,N,Toronto,197,Urban
6ffbce77,Top,3.7,N,13,N,N,22,Y,2,N,Toronto,174,Urban
70028ff8,Middle,4,N,9,N,N,28,Y,0,N,New York,152,Urban
705a7b97,Middle,4.5,N,20,N,N,30,Y,2,N,New York,402,Urban
70d7c0fd,Bottom,4.9,Y,13,N,N,20,N,0,N,Toronto,220,Urban
70ee73b9,Bottom,4.7,N,10,N,N,24,Y,0,N,Toronto,212,Urban
71aa7b78,Middle,4.4,N,9,N,N,18,N,0,N,Toronto,303,Urban
726895c8,Middle,5.1,N,15,N,N,26,Y,2,N,New York,212,Urban
72a59199,Bottom,5,N,10,N,Y,30,Y,0,N,New York,379,Urban
72c9ce58,Bottom,5.9,N,15,Y,N,22,N,0,N,Chicago,152,Urban
72cd94a4,Bottom,4.8,N,6,N,N,18,N,2,N,Toronto,136,Urban
72fd934c,Top,4,N,9,N,N,14,Y,0,N,New York,295,Urban
737a170c,Middle,4.3,Y,15,N,N,26,N,2,Y,Orlando,136,Suburban
748f511e,Top,4.4,N,17,N,Y,30,Y,0,N,New York,227,Urban
75b9faa4,Top,2,Y,7,N,N,16,N,0,N,Toronto,371,Urban
75c641f3,Top,4.6,N,15,N,N,24,Y,2,N,New York,273,Urban
75d6a015,Top,4.9,N,8,N,N,20,Y,0,N,Toronto,288,Urban
76122084,Top,4.1,N,10,N,N,20,Y,0,N,Toronto,167,Urban
773a3436,Middle,4.8,N,13,N,N,18,Y,2,N,New York,379,Urban
77e0ae27,Middle,4.8,N,15,N,N,14,N,0,N,Toronto,258,Urban
7853545e,Middle,5.1,N,10,N,N,18,Y,2,N,Toronto,76,Urban
78be7b49,Middle,5,N,20,N,N,22,N,2,N,New York,235,Urban
78c17ebb,Middle,4.2,N,6,N,N,14,N,0,N,Toronto,288,Urban
79997a04,Top,4.3,N,17,N,N,32,Y,2,N,Toronto,311,Urban
799ae284,Top,4.3,N,12,N,N,16,Y,0,N,Toronto,144,Urban
7b40afe7,Bottom,5.3,N,10,N,N,16,N,2,Y,San Francisco,273,Suburban
7b5cfcfd,Bottom,3.4,N,11,Y,Y,22,N,2,N,Orlando,220,Suburban
7b869493,Middle,4,N,11,N,N,20,Y,2,N,Toronto,167,Urban
7bf5373c,Middle,4.4,N,14,N,N,18,N,2,N,Toronto,280,Urban
7c04d967,Middle,4.8,N,10,N,N,22,N,3,Y,New York,265,Urban
7c2f19f9,Middle,4.3,N,10,N,N,26,N,2,Y,New York,235,Urban
7cc6b046,Middle,4.1,N,13,N,N,26,N,2,N,New York,205,Urban
7d8b89cf,Middle,4.8,N,13,Y,N,18,Y,0,N,New York,227,Urban
